,symbol,stop_loss,take_profit,final_value
0,AAP,1,4,1267.3889999999994
1,AAP,1,5,1371.4600000000003
2,AAP,1,6,1176.1790000000008
3,AAP,1,7,1279.4630000000004
4,AAP,1,8,1224.626
5,AAP,2,5,1263.2489999999998
6,AAP,2,7,1214.1660000000002
7,AAP,2,8,1150.138
8,AAP,3,5,1229.469
9,AAP,3,8,1080.0000000000002
10,AAP,7,3,1198.6669999999995
11,AAP,7,4,1048.8049999999996
12,AAP,7,6,1180.9859999999999
13,AAP,7,9,1112.3179999999993
14,AAP,8,1,1178.8770000000004
15,AAP,8,2,1198.3160000000005
16,AAP,8,3,1180.9520000000005
17,AAP,8,4,1078.6539999999995
18,AAP,8,5,1141.763
19,AAP,8,6,1171.3400000000001
20,AAP,8,7,1041.0250000000003
21,AAP,8,8,1078.2379999999998
22,AAP,9,2,1200.4949999999997
23,AAP,9,3,1148.2850000000003
24,AAP,9,4,1318.0359999999996
25,AAP,9,5,1292.4320000000002
26,AAP,9,6,1312.9179999999997
27,AAP,9,7,1029.3040000000003
28,AAP,9,8,1066.246
29,AAPL,1,1,1155.997
30,AAPL,1,2,1139.9809999999995
31,AAPL,1,4,1166.1789999999999
32,AAPL,1,5,1193.1749999999995
33,AAPL,1,6,1266.439
34,AAPL,1,7,1785.3040000000017
35,AAPL,1,8,2046.1270000000006
36,AAPL,1,9,1725.5160000000012
37,AAPL,2,1,1154.2949999999996
38,AAPL,2,2,1049.6699999999996
39,AAPL,2,3,1125.4099999999999
40,AAPL,2,4,1075.868
41,AAPL,2,5,1102.8640000000005
42,AAPL,2,6,1150.8220000000001
43,AAPL,2,7,1812.2340000000006
44,AAPL,2,8,2489.9940000000033
45,AAPL,2,9,1489.1210000000005
46,AAPL,3,1,1126.3169999999998
47,AAPL,3,2,1067.0939999999994
48,AAPL,3,6,1218.5929999999996
49,AAPL,3,7,1701.1560000000009
50,AAPL,3,8,1446.067
51,AAPL,3,9,1488.5470000000005
52,AAPL,4,3,1079.8979999999997
53,AAPL,5,6,1251.9479999999999
54,AAPL,5,7,1139.9709999999995
55,AAPL,5,8,1147.583
56,AAPL,5,9,1200.5610000000001
57,AAPL,6,6,2648.2720000000018
58,AAPL,6,7,2516.431000000003
59,AAPL,6,8,2769.822
60,AAPL,6,9,2353.283
61,AAPL,7,6,2388.142999999999
62,AAPL,7,7,2526.7210000000014
63,AAPL,7,8,2564.232000000001
64,AAPL,7,9,2250.873000000001
65,AAPL,8,1,1158.435
66,AAPL,8,2,3260.8559999999998
67,AAPL,8,3,2507.7050000000036
68,AAPL,8,6,1907.7180000000026
69,AAPL,8,7,2024.459000000004
70,AAPL,9,3,2589.9000000000015
71,AAPL,9,6,1961.305000000002
72,AAPL,9,7,2002.3710000000021
73,AAPL,9,8,2456.065000000003
74,AAPL,9,9,1953.5780000000016
75,ABT,3,3,1012.2350000000002
76,ABT,4,3,1009.342
77,ABT,6,3,1168.8809999999999
78,ABT,6,4,1725.6520000000005
79,ABT,7,3,1153.5789999999997
80,ABT,7,4,1659.4270000000001
81,ABT,8,3,1134.105
82,ABT,8,4,1335.9300000000014
83,ACGL,1,1,1084.6170000000006
84,ACGL,1,2,1063.62
85,ACGL,1,3,1068.4829999999993
86,ACGL,1,4,1090.7270000000003
87,ACGL,1,6,1485.5430000000001
88,ACGL,1,7,1711.6970000000001
89,ACGL,1,8,1633.5330000000022
90,ACGL,1,9,1634.6770000000004
91,ACGL,2,1,1067.049
92,ACGL,2,2,1015.1180000000005
93,ACGL,2,3,1074.4400000000005
94,ACGL,2,4,1052.7100000000005
95,ACGL,2,5,1007.2460000000009
96,ACGL,2,6,1448.862000000001
97,ACGL,2,7,1717.458
98,ACGL,2,8,1534.4860000000012
99,ACGL,2,9,1553.7150000000006
100,ACGL,3,1,1240.559999999999
101,ACGL,3,3,1213.9240000000004
102,ACGL,3,4,1155.3710000000005
103,ACGL,3,5,1609.093
104,ACGL,3,6,1720.5070000000014
105,ACGL,3,7,1667.8600000000001
106,ACGL,3,8,1561.3030000000017
107,ACGL,3,9,1627.2840000000008
108,ACGL,4,1,1146.264
109,ACGL,4,2,1116.3580000000004
110,ACGL,4,3,1157.1960000000001
111,ACGL,4,4,1042.9220000000007
112,ACGL,4,6,1671.6520000000005
113,ACGL,4,7,1653.9650000000006
114,ACGL,4,8,1540.726000000001
115,ACGL,4,9,1565.6560000000006
116,ACGL,5,2,1006.7690000000007
117,ACGL,5,6,1581.7340000000013
118,ACGL,5,7,1596.3520000000008
119,ACGL,5,8,1485.1780000000008
120,ACGL,6,1,1063.788
121,ACGL,6,2,1073.7320000000004
122,ACGL,6,3,1064.3150000000005
123,ACGL,6,5,1051.3089999999997
124,ACGL,6,7,1079.1080000000002
