direction,take_profit,stop_loss,open,high,low,close,volume,weight,result
1,0.596664,-0.0375429,-1.63041,-1.5043,-1.40314,-1.62718,0,2,0.596664
-1,0.0348466,-0.602315,-0.274197,0.0689312,0.34436,-0.274434,0,1,-0.602315
-1,0.0465958,-0.698176,-0.628051,-0.902482,-0.125864,-0.567085,0,1,-0.698176
1,0.631084,-0.0798907,1.08288,1.10319,1.04295,1.0989,0,1,0.631084
1,0.360893,-0.0414607,-0.714345,-0.544672,-0.499951,-0.715868,0,2,0.360893
1,0.0189719,-0.502689,1.01288,0.161287,1.1279,1.07298,0,1,0.0189719
1,0.0248367,-0.60366,-0.1883,-0.998733,0.0711688,-0.267127,0,1,0.0248367
-1,0.35156,-0.0355682,1.2504,1.78576,1.73177,1.26302,0,2,-0.0355682
-1,0.825627,-0.0908384,-1.37562,-1.26801,-1.02316,-1.3853,0,2,-0.0908384
1,0.0121521,-0.482183,1.38715,1.25285,1.06613,1.40185,0,2,0.0121521
-1,0.194916,-0.0960562,-0.861756,-0.990475,-0.378671,-0.795157,0,2,-0.0960562
-1,0.360893,-0.0414607,-0.714345,-0.544672,-0.499951,-0.715868,0,2,-0.0414607
1,0.065939,-0.467795,-1.7027,-1.72055,-1.00663,-1.71286,0,2,0.065939
1,0.0348466,-0.602315,-0.274197,0.0689312,0.34436,-0.274434,0,1,0.0348466
1,0.0651208,-0.875072,1.45386,1.12305,1.27987,1.46502,0,1,0.0651208
-1,0.551333,-0.0984273,0.353092,0.446107,0.455254,0.302785,0,2,-0.0984273
1,0.107636,-0.577741,-0.554822,-0.799353,-0.0627931,-0.547745,0,1,0.107636
1,0.0959592,-0.393963,0.148751,-0.100306,0.837903,0.161945,0,1,0.0959592
-1,0.506112,-0.100646,0.988119,1.21853,1.16941,0.993514,0,2,-0.100646
-1,0.262649,-0.0975915,-1.31828,-1.21114,-0.588188,-1.30293,0,1,-0.0975915
1,0.0465958,-0.698176,-0.628051,-0.902482,-0.125864,-0.567085,0,1,0.0465958
-1,0.596664,-0.0375429,-1.63041,-1.5043,-1.40314,-1.62718,0,2,-0.0375429
