direction,take_profit,stop_loss,open,high,low,close,volume,weight,result
1,0.0182935,-0.742875,0.908093,1.29317,0.925338,0.93631,0,2,0.0182935
1,0.841184,-0.0176891,-0.277519,-0.807486,-0.0651318,-0.251694,0,2,0.841184
-1,0.0302055,-0.872768,-0.940046,-0.687997,-0.756639,-0.92867,0,2,-0.872768
-1,0.03066,-0.576335,-0.656096,-0.797349,-0.82471,-0.658683,0,2,-0.576335
-1,0.801309,-0.0276634,-0.904941,0.288351,-0.170365,-0.874685,0,1,-0.0276634
-1,0.935511,-0.051355,-1.0962,-0.645966,-0.39621,-1.05474,0,2,-0.051355
-1,0.459532,-0.0278922,-0.559846,-0.703153,-0.853656,-0.550737,0,2,-0.0278922
-1,0.514916,-0.0211666,0.183445,-0.156831,-1.45954,0.250605,0,1,-0.0211666
-1,0.0357657,-0.019034,1.46534,1.34589,1.58358,1.44763,0,2,-0.019034
-1,0.841184,-0.0176891,-0.277519,-0.807486,-0.0651318,-0.251694,0,2,-0.0176891
-1,0.0132284,-0.418252,0.778102,0.723251,0.891459,0.832915,0,1,-0.418252
1,0.927295,-0.0178887,0.91824,1.53886,1.06924,0.908824,0,1,0.927295
1,0.0357657,-0.019034,1.46534,1.34589,1.58358,1.44763,0,2,0.0357657
1,0.514916,-0.0211666,0.183445,-0.156831,-1.45954,0.250605,0,1,0.514916
-1,0.935051,-0.0134046,1.27343,0.917708,1.05588,1.25782,0,2,-0.0134046
1,0.013247,-0.996313,0.300416,1.35283,0.914608,0.342544,0,2,0.013247
-1,0.0123813,-0.805456,1.0848,0.972038,0.946518,1.09507,0,1,-0.805456
1,0.640304,-0.0165315,1.86546,1.49604,1.68638,1.8627,0,1,0.640304
1,0.954719,-0.0174058,0.181858,1.17786,0.66434,0.206627,0,2,0.954719
-1,0.0159071,-0.46144,0.252103,1.61368,0.87155,0.211763,0,2,-0.46144
-1,0.0174791,-0.377406,1.80134,1.87385,1.78029,1.80326,0,1,-0.377406
-1,0.013247,-0.996313,0.300416,1.35283,0.914608,0.342544,0,2,-0.996313
1,0.406396,-0.0224777,0.670166,1.42144,1.07078,0.644246,0,2,0.406396
1,0.638885,-0.0214412,1.46955,1.47189,1.47229,1.49004,0,1,0.638885
1,0.935051,-0.0134046,1.27343,0.917708,1.05588,1.25782,0,2,0.935051
-1,0.0304416,-0.728594,0.0493359,-0.237103,-1.15806,0.00841228,0,2,-0.728594
1,0.0141307,-0.324946,0.423831,0.0460685,0.529847,0.481302,0,2,0.0141307
1,0.746004,-0.0107052,1.18484,0.960793,1.22458,1.18216,0,2,0.746004
1,0.459532,-0.0278922,-0.559846,-0.703153,-0.853656,-0.550737,0,2,0.459532
-1,0.0141307,-0.324946,0.423831,0.0460685,0.529847,0.481302,0,2,-0.324946
-1,0.0413976,-0.837413,1.14781,1.55898,1.27049,1.19178,0,1,-0.837413
-1,0.0409991,-0.859272,0.695382,0.400948,0.646548,0.704152,0,2,-0.859272
1,0.520016,-0.0433631,-0.842663,-1.23612,-1.04055,-0.958004,0,2,0.520016
1,0.898489,-0.0371994,1.02591,0.775988,0.95688,1.04047,0,1,0.898489
1,0.13132,-0.0458149,1.00526,0.541151,-0.0943867,0.994746,0,1,0.13132
-1,0.0620166,-0.391216,1.26262,1.22725,1.35349,1.26432,0,1,-0.391216
-1,0.0359144,-0.574465,1.32764,1.45283,1.23394,1.39013,0,1,-0.574465
1,0.736802,-0.0774642,0.90964,0.636303,0.601928,0.934477,0,1,0.736802
1,0.248199,-0.0699879,1.80341,1.46044,1.5951,1.82602,0,-2,0.248199
-1,0.0182935,-0.742875,0.908093,1.29317,0.925338,0.93631,0,2,-0.742875
-1,0.0604956,-0.916576,-0.110512,-0.281275,-1.00345,-0.0776472,0,1,-0.916576
1,0.801309,-0.0276634,-0.904941,0.288351,-0.170365,-0.874685,0,1,0.801309
-1,0.0245772,-0.73006,0.840816,0.417253,0.757376,0.861277,0,2,-0.73006
1,0.736848,-0.0395047,1.23022,1.10011,1.25996,1.24754,0,2,0.736848
1,0.0860391,-0.069424,1.37207,1.13373,1.24877,1.36805,0,2,0.0860391
-1,0.0595858,-0.119409,0.385529,0.402903,0.833232,0.322468,0,2,-0.119409
-1,0.0400239,-0.277496,1.59688,1.5913,1.49836,1.54373,0,2,-0.277496
-1,0.0666701,-0.975464,1.31681,1.22323,1.4873,1.28708,0,2,-0.975464
-1,0.0662783,-0.959593,0.499883,0.815572,1.25241,0.435405,0,2,-0.959593
1,0.276673,-0.0516149,-0.00972685,0.488594,0.813132,0.0447666,0,1,0.276673
-1,0.0749417,-0.828755,1.25929,1.09756,1.90594,1.269,0,2,-0.828755
1,0.753336,-0.0819049,-1.00587,-1.16039,-1.24523,-1.0437,0,1,0.753336
1,0.983493,-0.0797385,1.28208,0.980664,0.422577,1.24248,0,1,0.983493
1,0.580721,-0.0708945,0.736017,0.886638,0.897303,0.75106,0,2,0.580721
-1,0.0642812,-0.36269,-0.889023,-0.782398,-0.809956,-0.951401,0,1,-0.36269
-1,0.0540607,-0.067107,-0.242398,0.559566,-1.16846,-0.157887,0,1,-0.067107
-1,0.0860391,-0.069424,1.37207,1.13373,1.24877,1.36805,0,2,-0.069424
1,0.855398,-0.0829493,-0.693934,-0.942362,-0.768792,-0.641412,0,1,0.855398
-1,0.0402221,-0.818961,1.50546,0.929321,-0.128337,1.48842,0,2,-0.818961
1,0.937101,-0.0652734,0.145517,-0.505106,-0.45387,0.137971,0,2,0.937101
1,0.935511,-0.051355,-1.0962,-0.645966,-0.39621,-1.05474,0,2,0.935511
-1,0.0858358,-0.39323,0.944319,1.2717,0.840744,0.940533,0,2,-0.39323
1,0.0540607,-0.067107,-0.242398,0.559566,-1.16846,-0.157887,0,1,0.0540607
-1,0.0235798,-0.797999,1.34627,1.29788,1.48568,1.35891,0,1,-0.797999
-1,0.0812452,-0.43789,0.253299,-0.147248,0.83424,0.265939,0,1,-0.43789
1,0.98859,-0.082696,-1.7746,-1.60969,-1.08338,-1.79029,0,2,0.98859
-1,0.107041,-0.703638,1.58934,1.57884,1.14922,1.65669,0,1,-0.703638
1,0.404533,-0.0930059,0.545735,0.323938,1.0702,0.483314,0,2,0.404533
1,0.693786,-0.0958049,0.090334,-0.292379,-1.77612,0.0673555,0,2,0.693786
-1,0.105327,-0.855318,1.57863,1.5541,1.54538,1.54943,0,2,-0.855318
-1,0.0865674,-0.143424,-1.58287,-1.70454,-1.31423,-1.55719,0,2,-0.143424
-1,0.0992533,-0.134345,-1.74344,-1.73518,-1.5341,-1.74484,0,2,-0.134345
-1,0.0994999,-0.81134,0.00572467,0.444978,0.409609,0.00683371,0,2,-0.81134
1,0.577115,-0.105606,1.05605,1.05536,1.1562,1.09712,0,2,0.577115
-1,0.0225405,-0.166433,-0.496537,-1.3957,-1.42543,-0.454734,0,2,-0.166433
1,0.935542,-0.0811018,-1.42091,-1.35811,-0.993808,-1.38686,0,2,0.935542
-1,0.0288311,-0.965537,0.790001,0.314424,0.282144,0.790819,0,1,-0.965537
-1,0.102214,-0.953017,0.888654,1.21735,0.955921,0.899596,0,1,-0.953017
1,0.914775,-0.108284,1.096,1.35005,1.25692,1.10186,0,1,0.914775
-1,0.106746,-0.24693,-0.615206,-0.72021,-0.536908,-0.651527,0,2,-0.24693
-1,0.0272618,-0.355648,-0.0187811,-1.78417,-1.56281,-0.0543998,0,1,-0.355648
-1,0.555297,-0.0101803,1.4289,1.02554,1.04292,1.41233,0,1,-0.0101803
-1,0.748192,-0.0338053,0.628886,-0.0538366,0.32486,0.621352,0,1,-0.0338053
1,0.0225405,-0.166433,-0.496537,-1.3957,-1.42543,-0.454734,0,2,0.0225405
1,0.0272618,-0.355648,-0.0187811,-1.78417,-1.56281,-0.0543998,0,1,0.0272618
1,0.0235798,-0.797999,1.34627,1.29788,1.48568,1.35891,0,1,0.0235798
-1,0.969698,-0.0611292,-0.703908,-0.805724,-1.06897,-0.717212,0,2,-0.0611292
-1,0.82979,-0.061741,0.0871169,0.597639,0.891324,-0.0585108,0,2,-0.061741
1,0.555297,-0.0101803,1.4289,1.02554,1.04292,1.41233,0,1,0.555297
-1,0.121525,-0.0110298,-1.22789,-1.08748,-0.81739,-1.21856,0,1,-0.0110298
1,0.0153166,-0.899733,-1.24717,-0.905857,-1.23212,-1.16824,0,2,0.0153166
-1,0.730572,-0.01835,-1.69947,-1.85018,-1.84469,-1.72178,0,2,-0.01835
-1,0.846698,-0.0232184,-0.740655,-0.21478,-0.518813,-0.772137,0,2,-0.0232184
1,0.0288311,-0.965537,0.790001,0.314424,0.282144,0.790819,0,1,0.0288311
