direction,take_profit,stop_loss,open,high,low,close,weight,result
1,0.0718449,-0.470085,-1.35575,-1.15551,-1.1848,-1.17334,2,0.0718449
1,0.045742,-0.752289,0.882995,0.354006,0.84067,0.569825,2,0.045742
-1,0.206387,-0.0631534,1.27819,0.567637,0.727572,0.484059,2,-0.0631534
-1,0.272565,-0.0921946,1.73821,1.11907,1.69676,0.94314,2,-0.0921946
-1,0.895053,-0.0808306,-0.0146959,-0.352385,0.64013,-0.427191,2,-0.0808306
-1,0.208049,-0.0179948,-1.63434,-0.755253,0.0879918,-0.909535,-2,-0.0179948
1,0.0668919,-0.468355,1.11413,0.752074,1.70055,0.530474,2,0.0668919
-1,0.470977,-0.111724,1.05293,1.22127,0.91596,1.50808,2,-0.111724
1,0.138283,-0.326846,1.41127,1.74763,1.44796,1.29548,2,0.138283
-1,0.321083,-0.0637116,-1.57949,-1.51038,-0.824909,-1.45476,-2,-0.0637116
1,0.0695814,-0.671295,-1.13776,-1.3108,-1.21474,0.796137,-2,0.0695814
-1,0.631427,-0.0646863,-0.115234,-0.642961,0.485504,-1.21589,2,-0.0646863
-1,0.230118,-0.0937516,1.19612,1.61326,1.65324,1.46268,2,-0.0937516
1,0.0301856,-0.287034,1.38145,1.21199,1.30763,1.05784,1,0.0301856
1,0.0929828,-0.655016,0.397666,0.0719172,-0.53647,-0.65877,-2,0.0929828
-1,0.493337,-0.0785706,-1.17158,-0.256655,-1.71655,0.751782,2,-0.0785706
-1,0.98484,-0.105623,-0.207758,-0.648789,0.474678,0.673122,-2,-0.105623
1,0.223388,-0.833225,1.07108,0.509843,-0.341581,-0.492716,2,0.223388
1,0.206387,-0.0631534,1.27819,0.567637,0.727572,0.484059,2,0.206387
-1,0.0940986,-0.0841894,-0.722794,-0.718735,-1.02771,-0.939157,-2,-0.0841894
1,0.135667,-0.976362,0.174366,-0.723338,0.12637,-0.599829,2,0.135667
-1,0.388299,-0.182895,0.343735,0.365756,1.16835,0.297349,-2,-0.182895
1,0.0940986,-0.0841894,-0.722794,-0.718735,-1.02771,-0.939157,-2,0.0940986
-1,0.718712,-0.17576,1.24437,0.681948,1.13686,0.769908,2,-0.17576
1,0.272565,-0.0921946,1.73821,1.11907,1.69676,0.94314,2,0.272565
-1,0.242298,-0.0189533,-0.712841,-1.19523,-1.50201,-1.42376,-2,-0.0189533
-1,0.394958,-0.0352031,1.89908,1.42377,1.78364,1.07158,2,-0.0352031
-1,0.861594,-0.0490698,0.0283925,-0.910196,0.234762,-1.35229,-2,-0.0490698
-1,0.834213,-0.0508863,1.01786,0.577921,0.430133,-0.00926161,-2,-0.0508863
1,0.0517845,-0.389156,1.26833,1.00865,1.14985,1.27129,2,0.0517845
1,0.208049,-0.0179948,-1.63434,-0.755253,0.0879918,-0.909535,-2,0.208049
1,0.230118,-0.0937516,1.19612,1.61326,1.65324,1.46268,2,0.230118
-1,0.562833,-0.33758,1.57312,1.32132,1.63222,1.19046,2,-0.33758
-1,0.138283,-0.326846,1.41127,1.74763,1.44796,1.29548,2,-0.326846
-1,0.386526,-0.288746,-0.137423,-0.668739,0.177543,-0.0480257,2,-0.288746
-1,0.595728,-0.0175893,-1.07116,-1.03341,-0.775792,-0.997135,2,-0.0175893
-1,0.935273,-0.126975,-0.410129,-0.587347,-1.4115,-0.837368,-2,-0.126975
1,0.390754,-0.462746,-1.41308,-1.4554,-1.30757,-1.23409,-2,0.390754
1,0.116288,-0.27196,0.240158,1.47428,0.994588,1.14955,2,0.116288
1,0.253045,-0.994906,-0.212175,-0.738538,0.118959,0.565262,-2,0.253045
1,0.315546,-0.433108,1.37033,1.75402,1.18451,1.89548,2,0.315546
-1,0.283555,-0.119352,1.82574,1.18039,1.79462,1.00533,2,-0.119352
-1,0.519992,-0.145995,1.66789,1.73825,1.92842,1.91894,-2,-0.145995
-1,0.364292,-0.360432,1.71766,1.68798,1.63471,1.5837,2,-0.360432
-1,0.286199,-0.0116334,-1.78357,-1.34492,-1.37074,-0.867089,-2,-0.0116334
-1,0.426443,-0.139185,-1.55353,-2.0261,-1.81341,-1.74743,-2,-0.139185
1,0.364292,-0.360432,1.71766,1.68798,1.63471,1.5837,2,0.364292
-1,0.729312,-0.319598,-0.928545,0.346522,-1.21459,0.980286,-2,-0.319598
1,0.0466505,-0.670927,1.49312,0.982477,1.21651,0.961587,2,0.0466505
1,0.321083,-0.0637116,-1.57949,-1.51038,-0.824909,-1.45476,-2,0.321083
1,0.156812,-0.611428,-1.06055,-1.15574,-0.740941,-0.578846,2,0.156812
1,0.329744,-0.411851,1.59927,1.35223,1.74757,1.53982,2,0.329744
-1,0.0718449,-0.470085,-1.35575,-1.15551,-1.1848,-1.17334,2,-0.470085
-1,0.0111712,-0.758932,-0.315941,-0.058203,-1.67827,-0.896989,2,-0.758932
-1,0.0237548,-0.724399,1.00214,0.419853,1.66685,1.54217,2,-0.724399
1,0.0111712,-0.758932,-0.315941,-0.058203,-1.67827,-0.896989,2,0.0111712
-1,0.390754,-0.462746,-1.41308,-1.4554,-1.30757,-1.23409,-2,-0.462746
1,0.0237548,-0.724399,1.00214,0.419853,1.66685,1.54217,2,0.0237548
1,0.45047,-0.469873,0.651942,0.248038,1.01637,0.507765,-2,0.45047
-1,0.0301856,-0.287034,1.38145,1.21199,1.30763,1.05784,1,-0.287034
-1,0.45047,-0.469873,0.651942,0.248038,1.01637,0.507765,-2,-0.469873
-1,0.347718,-0.307443,1.58082,1.95152,1.91471,1.95098,2,-0.307443
1,0.388299,-0.182895,0.343735,0.365756,1.16835,0.297349,-2,0.388299
1,0.386526,-0.288746,-0.137423,-0.668739,0.177543,-0.0480257,2,0.386526
1,0.263168,-0.349676,0.106128,-0.160353,-1.21231,-1.44413,-2,0.263168
1,0.0829348,-0.953166,-0.105296,-0.329423,-0.0603675,-0.363029,2,0.0829348
1,0.465157,-0.977138,1.14505,0.741164,1.28678,0.936209,2,0.465157
-1,0.92969,-0.200603,1.73179,1.10722,1.30631,0.735027,2,-0.200603
-1,0.512676,-0.205312,-0.513183,-0.637759,0.152772,-0.192763,-2,-0.205312
1,0.470977,-0.111724,1.05293,1.22127,0.91596,1.50808,2,0.470977
1,0.0617744,-0.807488,1.68464,1.03606,1.59222,0.893777,2,0.0617744
1,0.241141,-0.416923,-1.30357,-1.05792,-0.530029,-0.682144,-2,0.241141
-1,0.602438,-0.392547,-1.74635,-0.791482,-0.782296,-0.21669,-2,-0.392547
1,0.347718,-0.307443,1.58082,1.95152,1.91471,1.95098,2,0.347718
-1,0.329744,-0.411851,1.59927,1.35223,1.74757,1.53982,2,-0.411851
1,0.422325,-0.739082,0.0709938,1.31515,0.951174,1.09877,2,0.422325
-1,0.315546,-0.433108,1.37033,1.75402,1.18451,1.89548,2,-0.433108
1,0.0306624,-0.214821,1.35597,1.62866,1.35212,1.57586,2,0.0306624
-1,0.125175,-0.0652318,-0.664061,-0.465851,-1.04206,-0.105533,-2,-0.0652318
1,0.0976173,-0.562776,-0.748578,-0.327756,-0.300134,-0.141096,2,0.0976173
1,0.247795,-0.927103,-0.621385,-1.22023,-1.57172,-1.7863,2,0.247795
