direction,take_profit,stop_loss,open,high,low,close,volume,weight,result
-1,0.0344411,-0.236035,0.409238,1.19806,1.15756,0.371736,0,2,-0.236035
-1,0.0156056,-0.297291,1.59907,1.31067,1.175,1.60022,0,2,-0.297291
-1,0.0177559,-0.643373,1.19791,1.33333,1.40278,1.19979,0,2,-0.643373
1,0.513058,-0.0205177,-1.2855,-1.18454,-1.03762,-1.28878,0,2,0.513058
-1,0.0311183,-0.205078,0.85253,1.20917,1.1079,0.841145,0,1,-0.205078
-1,0.0399456,-0.934656,0.622928,0.485138,0.946899,0.592765,0,1,-0.934656
-1,0.465658,-0.0144419,-0.746281,0.280513,-0.188424,-0.708572,0,2,-0.0144419
-1,0.814411,-0.0143464,-0.568814,-0.981476,-0.670523,-0.555934,0,1,-0.0143464
-1,0.985277,-0.0190127,-1.07511,-0.188006,-1.27589,-1.03884,0,1,-0.0190127
-1,0.772644,-0.0251576,1.20452,0.655552,-1.40886,1.33205,0,-2,-0.0251576
1,0.0238833,-0.0558295,-0.345615,-0.895855,-0.125211,-0.279553,0,-2,0.0238833
1,0.0257228,-0.962847,-1.59766,-0.487291,-1.0864,-1.58957,0,2,0.0257228
-1,0.451435,-0.0297806,-0.910447,-1.46692,-1.06065,-0.892212,0,2,-0.0297806
-1,0.0145196,-0.850327,0.340287,-0.561585,-0.276226,0.356045,0,1,-0.850327
-1,0.0278093,-0.777347,-0.481373,-1.23061,-1.10735,-0.521127,0,2,-0.777347
-1,0.0181078,-0.861382,-1.41573,-1.4038,-1.39855,-1.42317,0,2,-0.861382
1,0.814411,-0.0143464,-0.568814,-0.981476,-0.670523,-0.555934,0,1,0.814411
1,0.465658,-0.0144419,-0.746281,0.280513,-0.188424,-0.708572,0,2,0.465658
-1,0.0238833,-0.0558295,-0.345615,-0.895855,-0.125211,-0.279553,0,-2,-0.0558295
-1,0.0257228,-0.962847,-1.59766,-0.487291,-1.0864,-1.58957,0,2,-0.962847
1,0.451435,-0.0297806,-0.910447,-1.46692,-1.06065,-0.892212,0,2,0.451435
1,0.985277,-0.0190127,-1.07511,-0.188006,-1.27589,-1.03884,0,1,0.985277
-1,0.111304,-0.896945,-1.70711,-1.8491,-1.79693,-1.70319,0,2,-0.896945
1,0.206116,-0.0324285,0.670725,1.05548,1.05426,0.705867,0,2,0.206116
-1,0.0367848,-0.824088,-1.4132,-1.28294,-0.909457,-1.41632,0,2,-0.824088
-1,0.0709072,-0.439258,0.841406,0.451242,0.479094,0.904421,0,2,-0.439258
-1,0.0520903,-0.25892,0.334673,-0.886895,-1.1135,0.28995,0,1,-0.25892
1,0.0388483,-0.0214285,-0.1183,-0.391483,0.105858,-0.182224,0,2,0.0388483
1,0.772644,-0.0251576,1.20452,0.655552,-1.40886,1.33205,0,-2,0.772644
1,0.979995,-0.0667559,0.272033,-0.108427,-0.107512,0.287892,0,1,0.979995
1,0.659335,-0.0512247,-1.73414,-1.21903,-1.46662,-1.71857,0,1,0.659335
1,0.837998,-0.0633608,0.13374,-0.174693,0.25824,0.126984,0,2,0.837998
-1,0.0688167,-0.996278,0.495569,-0.0919503,1.08364,0.395825,0,1,-0.996278
-1,0.0388483,-0.0214285,-0.1183,-0.391483,0.105858,-0.182224,0,2,-0.0214285
-1,0.0222249,-0.0217884,0.365777,1.49922,1.58835,0.367633,0,1,-0.0217884
1,0.0222249,-0.0217884,0.365777,1.49922,1.58835,0.367633,0,1,0.0222249
-1,0.524239,-0.0387725,-0.893567,-0.970537,-0.726192,-0.914293,0,2,-0.0387725
-1,0.741838,-0.0271698,0.992802,0.708268,0.940619,0.995798,0,1,-0.0271698
1,0.0409282,-0.17669,1.53731,1.98289,1.82589,1.5367,0,1,0.0409282
-1,0.511082,-0.0521493,1.461,0.299402,0.683761,1.47445,0,2,-0.0521493
1,0.0602445,-0.2344,-0.192595,-1.79601,0.147194,-0.185589,0,2,0.0602445
1,0.0193645,-0.601188,-1.23753,0.00879816,-0.823198,-1.01689,0,-2,0.0193645
1,0.0373654,-0.753326,1.72625,1.11546,1.55668,1.73491,0,2,0.0373654
1,0.0181078,-0.861382,-1.41573,-1.4038,-1.39855,-1.42317,0,2,0.0181078
1,0.027359,-0.138399,0.237499,-0.785261,0.310355,0.230597,0,2,0.027359
1,0.061375,-0.742057,0.111193,0.139253,0.537517,0.105704,0,2,0.061375
-1,0.513058,-0.0205177,-1.2855,-1.18454,-1.03762,-1.28878,0,2,-0.0205177
-1,0.206116,-0.0324285,0.670725,1.05548,1.05426,0.705867,0,2,-0.0324285
1,0.158274,-0.0121458,-1.11592,-1.51302,-0.99615,-1.1321,0,1,0.158274
1,0.0177953,-0.229616,-1.36593,-1.21394,-0.790968,-1.36561,0,2,0.0177953
1,0.036022,-0.0203545,-1.48427,-1.26154,-1.18063,-1.5025,0,2,0.036022
-1,0.0177953,-0.229616,-1.36593,-1.21394,-0.790968,-1.36561,0,2,-0.229616
-1,0.0321729,-0.217443,0.0588499,0.0671902,1.05978,0.0408226,0,1,-0.217443
-1,0.027359,-0.138399,0.237499,-0.785261,0.310355,0.230597,0,2,-0.138399
1,0.346395,-0.033289,-0.779411,-0.583457,-0.631101,-0.775583,0,2,0.346395
-1,0.0193645,-0.601188,-1.23753,0.00879816,-0.823198,-1.01689,0,-2,-0.601188
-1,0.036022,-0.0203545,-1.48427,-1.26154,-1.18063,-1.5025,0,2,-0.0203545
1,0.352716,-0.0412189,-0.270313,-1.2965,-1.34454,-0.261865,0,2,0.352716
1,0.542785,-0.0333453,-0.782967,-1.28106,-1.01321,-0.788088,0,2,0.542785
1,0.125035,-0.0484456,-0.421517,-0.329258,-0.502146,-0.408632,0,1,0.125035
-1,0.0544446,-0.874403,1.0739,0.653384,0.450171,1.06311,0,2,-0.874403
-1,0.0373654,-0.753326,1.72625,1.11546,1.55668,1.73491,0,2,-0.753326
1,0.24009,-0.0737451,-1.54529,-0.745063,-0.933642,-1.5354,0,2,0.24009
-1,0.0706604,-0.133907,0.309313,0.397761,0.242714,0.344534,0,1,-0.133907
-1,0.073946,-0.396709,-0.0905733,-0.728057,-1.70928,-0.0811394,0,1,-0.396709
-1,0.0663959,-0.44674,-1.49757,-1.56152,-1.36984,-1.70582,0,2,-0.44674
-1,0.0409282,-0.17669,1.53731,1.98289,1.82589,1.5367,0,1,-0.17669
1,0.741838,-0.0271698,0.992802,0.708268,0.940619,0.995798,0,1,0.741838
1,0.293754,-0.0733108,-1.10467,-1.21228,-1.096,-1.1077,0,2,0.293754
-1,0.0714005,-0.795213,-1.31077,-1.3149,-1.6938,-1.36934,0,2,-0.795213
1,0.600337,-0.0954906,0.797777,0.647961,1.16462,0.807094,0,1,0.600337
-1,0.0495344,-0.482959,-1.0581,-0.673204,-1.0627,-1.058,0,2,-0.482959
1,0.634219,-0.0592197,1.15157,0.62034,1.04037,1.11898,0,1,0.634219
-1,0.0988561,-0.138064,0.532805,0.310066,-0.0172463,0.58,0,1,-0.138064
1,0.748112,-0.0843612,-1.2643,-0.728498,-1.07418,-1.27008,0,1,0.748112
-1,0.06812,-0.274019,-1.19233,-0.20291,-0.415939,-1.16265,0,2,-0.274019
-1,0.0883166,-0.608921,-1.98931,-1.89293,-1.65119,-1.98882,0,1,-0.608921
-1,0.0713569,-0.944159,-0.82995,-0.959899,-0.40534,-0.823746,0,2,-0.944159
1,0.397048,-0.0860178,-0.126972,-0.909328,-1.035,-0.120506,0,1,0.397048
1,0.333442,-0.0767293,-1.62928,-1.59834,-1.43845,-1.62427,0,2,0.333442
-1,0.0730673,-0.943829,-1.21137,-1.37772,-1.88076,-1.22102,0,2,-0.943829
-1,0.10553,-0.555883,0.606405,0.642129,1.5379,0.595177,0,1,-0.555883
-1,0.0842595,-0.258123,1.24139,1.06661,1.25795,1.22708,0,1,-0.258123
1,0.222956,-0.0626912,-1.49408,-1.61704,-1.68704,-1.50823,0,1,0.222956
-1,0.0767166,-0.581199,-0.701754,-0.807146,-0.462915,-0.690888,0,2,-0.581199
1,0.694269,-0.101444,-1.21153,-1.5055,-1.67831,-1.20054,0,2,0.694269
-1,0.0875515,-0.690108,-1.14433,-0.969928,-1.32668,-1.12943,0,2,-0.690108
-1,0.103166,-0.45737,-0.563125,-0.249689,-0.308506,-0.563,0,2,-0.45737
1,0.686033,-0.123439,-1.17607,-1.70542,-1.46515,-1.29322,0,2,0.686033
-1,0.061375,-0.742057,0.111193,0.139253,0.537517,0.105704,0,2,-0.742057
