direction,take_profit,stop_loss,open,high,low,close,weight,result
-1,0.0600994,-0.370568,-0.223378,-0.618034,-1.19821,-1.00534,2,-0.370568
-1,0.0390809,-0.442437,-0.567271,-1.07257,-1.56877,-1.61648,2,-0.442437
-1,0.0147275,-0.901756,-0.792003,-0.945049,-0.615704,-0.74779,-1,-0.901756
1,0.730617,-0.125146,-1.16587,-0.973539,-0.137374,-0.189147,-2,0.730617
-1,0.0533022,-0.0122743,-0.962729,-0.878453,-0.773985,-0.636149,-2,-0.0122743
-1,0.976291,-0.0320093,1.58783,1.46635,1.09132,0.457584,2,-0.0320093
1,0.0533022,-0.0122743,-0.962729,-0.878453,-0.773985,-0.636149,-2,0.0533022
1,0.0147275,-0.901756,-0.792003,-0.945049,-0.615704,-0.74779,-1,0.0147275
-1,0.728805,-0.083025,-1.64371,-1.56781,-1.53364,-1.51241,-2,-0.083025
1,0.0390809,-0.442437,-0.567271,-1.07257,-1.56877,-1.61648,2,0.0390809
-1,0.20045,-0.0653847,0.860261,0.40811,0.468903,-0.293785,-2,-0.0653847
1,0.0600994,-0.370568,-0.223378,-0.618034,-1.19821,-1.00534,2,0.0600994
1,0.194385,-0.890565,1.16195,0.32525,0.416834,0.951893,-2,0.194385
1,0.184324,-0.312974,1.6978,1.75487,1.64931,1.65867,2,0.184324
-1,0.508309,-0.193561,-0.856997,-1.08406,-0.875818,-1.09876,-2,-0.193561
1,0.247478,-0.283569,0.683994,0.336727,0.777608,0.149506,-2,0.247478
1,0.0563293,-0.508933,-0.723375,-0.95115,-1.00312,-0.740799,-1,0.0563293
-1,0.730617,-0.125146,-1.16587,-0.973539,-0.137374,-0.189147,-2,-0.125146
-1,0.758732,-0.0250667,-0.53541,-0.252239,0.399783,0.406978,-2,-0.0250667
-1,0.247478,-0.283569,0.683994,0.336727,0.777608,0.149506,-2,-0.283569
-1,0.754267,-0.0455627,1.84313,1.25798,-0.205328,-0.852254,2,-0.0455627
-1,0.449061,-0.143529,1.19825,1.00013,1.08596,1.2672,1,-0.143529
-1,0.979112,-0.0483123,-0.240804,-1.355,-0.562517,-1.57429,-2,-0.0483123
1,0.257484,-0.516994,-0.551463,-0.400339,-0.293791,-0.0827746,2,0.257484
-1,0.98646,-0.262801,1.17985,0.202338,1.77883,0.813355,1,-0.262801
-1,0.981026,-0.254498,1.46056,1.62109,1.48462,1.43374,-2,-0.254498
-1,0.843002,-0.0805209,0.496039,-0.721287,0.108363,-0.555455,2,-0.0805209
1,0.0918481,-0.68992,-1.52398,-1.22204,-1.19709,-0.93035,-2,0.0918481
1,0.0811851,-0.978277,-1.88155,-1.14986,-1.93578,-1.51396,2,0.0811851
-1,0.548557,-0.104076,-1.30948,-1.56764,-1.41532,-1.45626,-2,-0.104076
1,0.20045,-0.0653847,0.860261,0.40811,0.468903,-0.293785,-2,0.20045
-1,0.520127,-0.265194,0.360686,1.42667,0.69831,1.14931,2,-0.265194
-1,0.987977,-0.260381,1.36544,1.51098,1.64851,1.59048,2,-0.260381
-1,0.184324,-0.312974,1.6978,1.75487,1.64931,1.65867,2,-0.312974
-1,0.774988,-0.181724,1.399,0.811252,-0.212785,-0.339343,2,-0.181724
-1,0.264007,-0.0975089,0.951117,1.06105,1.92462,1.43068,2,-0.0975089
