direction,take_profit,stop_loss,open,high,low,close,weight,result
1,0.0666102,-0.225761,-1.41422,-0.845234,-1.4509,-0.285227,-2,0.0666102
1,0.0384239,-0.956629,-1.45151,-1.37908,-1.13774,-0.967527,-2,0.0384239
1,0.111731,-0.6532,-0.368408,0.420848,0.669477,0.765477,2,0.111731
-1,0.0552646,-0.243434,-0.613094,-1.03863,-0.148558,-0.553175,2,-0.243434
-1,0.105037,-0.745426,0.54484,0.443639,1.16977,0.552964,2,-0.745426
1,0.906682,-0.0817892,0.110581,0.250872,-1.45734,-1.65026,-2,0.906682
1,0.188161,-0.0796256,1.34156,1.1603,1.06012,0.63438,2,0.188161
1,0.589239,-0.0758403,1.86181,1.10374,1.18895,1.53001,2,0.589239
-1,0.0384239,-0.956629,-1.45151,-1.37908,-1.13774,-0.967527,-2,-0.956629
-1,0.072529,-0.185087,1.27885,0.966639,1.36487,0.529595,2,-0.185087
-1,0.0764873,-0.783141,0.619674,-0.0597742,1.16759,0.531224,2,-0.783141
-1,0.125858,-0.0341146,-1.34474,-0.964489,-0.432887,-0.329297,-2,-0.0341146
-1,0.702252,-0.0782803,-1.7246,-1.62597,-1.88382,-1.52159,-2,-0.0782803
1,0.940537,-0.0658706,0.274293,1.11122,0.781097,1.25713,-2,0.940537
1,0.615588,-0.0760076,0.763408,0.942972,0.973144,1.02812,2,0.615588
1,0.125858,-0.0341146,-1.34474,-0.964489,-0.432887,-0.329297,-2,0.125858
-1,0.0666102,-0.225761,-1.41422,-0.845234,-1.4509,-0.285227,-2,-0.225761
-1,0.106348,-0.248986,0.677621,0.390262,0.611136,-0.319688,2,-0.248986
-1,0.188161,-0.0796256,1.34156,1.1603,1.06012,0.63438,2,-0.0796256
-1,0.119726,-0.605279,1.50088,1.59874,1.55417,1.31262,2,-0.605279
1,0.072529,-0.185087,1.27885,0.966639,1.36487,0.529595,2,0.072529
-1,0.123659,-0.362705,0.867049,0.909042,0.838235,1.08042,2,-0.362705
-1,0.111731,-0.6532,-0.368408,0.420848,0.669477,0.765477,2,-0.6532
1,0.702252,-0.0782803,-1.7246,-1.62597,-1.88382,-1.52159,-2,0.702252
1,0.0250486,-0.769204,-1.31665,0.0802783,-1.48912,1.21766,2,0.0250486
1,0.259954,-0.0443867,1.25141,0.665497,-0.0875294,0.174987,1,0.259954
1,0.581456,-0.0366165,-1.79579,-1.74044,-1.34975,-1.39213,-2,0.581456
-1,0.221392,-0.846194,-0.317223,-0.907515,0.854912,0.128958,-2,-0.846194
1,0.0831429,-0.772802,-1.86633,-1.64327,-0.812611,-0.437352,-2,0.0831429
-1,0.259954,-0.0443867,1.25141,0.665497,-0.0875294,0.174987,1,-0.0443867
-1,0.581456,-0.0366165,-1.79579,-1.74044,-1.34975,-1.39213,-2,-0.0366165
1,0.177017,-0.283564,-0.407361,0.26626,0.132563,0.794032,2,0.177017
1,0.367551,-0.0352451,0.251989,-0.393697,-0.0662311,-1.18751,2,0.367551
1,0.72449,-0.0504075,-0.106974,-0.205878,-0.0328921,0.566797,-2,0.72449
-1,0.0518942,-0.735282,-0.842319,-1.19287,-1.93273,-1.96729,-2,-0.735282
-1,0.0210674,-0.511068,-0.221615,-1.40027,-1.96441,-1.9691,2,-0.511068
-1,0.0197326,-0.766706,1.60267,0.617487,0.835357,0.629746,2,-0.766706
-1,0.0250486,-0.769204,-1.31665,0.0802783,-1.48912,1.21766,2,-0.769204
1,0.990151,-0.183175,1.20425,0.994638,0.703467,0.450873,2,0.990151
1,0.0552646,-0.243434,-0.613094,-1.03863,-0.148558,-0.553175,2,0.0552646
-1,0.111459,-0.294798,-0.406654,-0.677844,-1.88881,-2.55398e-06,-2,-0.294798
1,0.454645,-0.132857,1.44412,0.88911,-0.192546,-0.650142,2,0.454645
1,0.840512,-0.214267,1.65363,1.01926,0.141756,0.230677,2,0.840512
1,0.512602,-0.261589,-0.154292,1.12733,1.4749,1.19265,-2,0.512602
1,0.116677,-0.0443179,-0.688061,0.294076,0.438503,1.69508,2,0.116677
-1,0.0286861,-0.425699,-0.916821,-0.885467,-1.78812,-1.83138,-2,-0.425699
-1,0.0789703,-0.198295,-0.963868,-1.0945,-1.19492,-0.877419,2,-0.198295
-1,0.233187,-0.927355,1.5996,1.34122,1.52495,1.22101,2,-0.927355
1,0.407443,-0.0989983,0.652897,1.52367,1.17221,1.43348,2,0.407443
-1,0.0732982,-0.786977,-0.603463,-0.328579,0.446281,-0.707164,-2,-0.786977
-1,0.252804,-0.515917,-0.0522143,0.397716,0.117972,0.705239,-2,-0.515917
-1,0.27083,-0.839364,-0.698958,-1.2791,-1.13752,-1.16956,2,-0.839364
-1,0.201254,-0.9005,-0.677318,-0.568306,-0.382987,-0.328376,1,-0.9005
