direction,take_profit,stop_loss,open,high,low,close,volume,weight,result
1,0.483736,-0.0152834,-1.215,-1.31263,-1.45817,-1.2062,0,1,0.483736
-1,0.0233444,-0.254463,1.70083,1.4584,1.65198,1.72306,0,2,-0.254463
1,0.118073,-0.0208758,-0.313133,0.414816,0.314712,-0.241464,0,1,0.118073
-1,0.0468284,-0.872711,-1.11374,-1.35139,-0.914192,-1.07383,0,2,-0.872711
1,0.25866,-0.0312983,0.526292,0.906257,0.990728,0.528579,0,1,0.25866
1,0.503118,-0.0389151,-0.601715,-1.02745,-1.40231,-0.521374,0,1,0.503118
-1,0.0393566,-0.610199,0.678318,0.520851,1.16175,0.659898,0,1,-0.610199
-1,0.0303534,-0.654553,1.285,1.68086,1.21149,1.31485,0,2,-0.654553
1,0.869134,-0.0318569,1.3943,1.1558,1.09467,1.41862,0,2,0.869134
-1,0.0345671,-0.158443,-0.543701,-1.21355,-1.49332,-0.577842,0,1,-0.158443
-1,0.019811,-0.997081,-0.0184292,-1.25103,-0.134491,0.0209936,0,2,-0.997081
-1,0.0169521,-0.479445,0.395526,1.55834,0.934605,0.422956,0,1,-0.479445
-1,0.0320558,-0.650319,-0.64096,-0.914294,-1.06112,-0.601303,0,1,-0.650319
1,0.951572,-0.031158,-1.42692,-1.40416,-1.54715,-1.38267,0,1,0.951572
-1,0.0278512,-0.408242,0.278325,1.58352,1.13417,0.282391,0,1,-0.408242
1,0.0881939,-0.0442608,-0.742409,-1.00882,-0.729481,-0.733506,0,2,0.0881939
1,0.444445,-0.0435786,1.91159,1.9265,1.05652,1.90011,0,2,0.444445
1,0.0305672,-0.014826,-1.0578,-0.987324,-0.852688,-1.05731,0,2,0.0305672
-1,0.0331955,-0.647417,0.470192,0.624405,0.954455,0.465317,0,2,-0.647417
1,0.875362,-0.0183165,-0.512058,-1.07171,-0.263626,-0.537672,0,1,0.875362
-1,0.060656,-0.967208,1.61237,1.59937,1.54215,1.60143,0,2,-0.967208
1,0.381144,-0.0663126,0.140072,0.110936,0.737963,0.149717,0,1,0.381144
-1,0.0726564,-0.471967,1.00116,0.736062,0.668411,1.00191,0,2,-0.471967
-1,0.0395683,-0.833642,1.38582,1.31008,1.75063,1.40157,0,1,-0.833642
1,0.0308078,-0.142408,-1.74013,-1.55154,-1.40482,-1.71916,0,2,0.0308078
1,0.0319429,-0.621953,-0.954066,-0.171578,-0.421289,-0.957324,0,2,0.0319429
-1,0.875362,-0.0183165,-0.512058,-1.07171,-0.263626,-0.537672,0,1,-0.0183165
-1,0.0305672,-0.014826,-1.0578,-0.987324,-0.852688,-1.05731,0,2,-0.014826
1,0.0280914,-0.21906,-1.48841,-1.24302,-1.38611,-1.49166,0,1,0.0280914
