direction,take_profit,stop_loss,open,high,low,close,weight,result
1,0.0119639,-0.796374,-1.11004,-0.813677,-0.683258,-0.381082,-2,0.0119639
-1,0.425821,-0.0241477,-1.39173,-1.32483,-1.27416,-1.16694,-2,-0.0241477
1,0.069074,-0.859643,-0.412721,0.0307873,0.405423,1.1136,-2,0.069074
1,0.0432959,-0.930686,-0.346996,-0.504521,0.0066867,-0.23578,-2,0.0432959
-1,0.781333,-0.0595826,1.51044,1.68872,1.16283,0.644595,2,-0.0595826
-1,0.915543,-0.118327,-1.74078,-1.73686,-1.51227,-1.5155,-2,-0.118327
1,0.0232445,-0.119481,-1.8476,-1.5271,-1.38888,-1.27235,2,0.0232445
1,0.162633,-0.628827,0.821311,0.388155,0.224141,-0.079261,-2,0.162633
-1,0.401879,-0.0127961,1.43375,1.31051,1.50565,1.26498,2,-0.0127961
1,0.16243,-0.241538,0.533305,1.61232,1.35917,1.60116,-2,0.16243
1,0.401879,-0.0127961,1.43375,1.31051,1.50565,1.26498,2,0.401879
-1,0.0232445,-0.119481,-1.8476,-1.5271,-1.38888,-1.27235,2,-0.119481
-1,0.0704347,-0.194106,1.2425,0.474567,1.53987,0.962898,2,-0.194106
1,0.709687,-0.037636,-0.876539,-0.916339,-0.642916,-0.709876,2,0.709687
-1,0.13294,-0.335596,1.09192,1.05998,1.16437,1.036,-2,-0.335596
-1,0.163065,-0.794083,1.08812,0.542582,-0.191783,0.740732,2,-0.794083
-1,0.183306,-0.881879,0.915896,1.19915,1.1338,0.466967,-2,-0.881879
1,0.425821,-0.0241477,-1.39173,-1.32483,-1.27416,-1.16694,-2,0.425821
1,0.0577945,-0.725112,1.59289,1.03143,1.16968,1.36622,2,0.0577945
-1,0.329074,-0.109223,-1.02648,-0.710963,-0.729096,-0.0992099,2,-0.109223
-1,0.904108,-0.117448,-0.0917942,-0.985119,-1.38287,-1.3355,-2,-0.117448
1,0.112643,-0.749009,0.0231645,-0.387028,0.216182,0.488305,2,0.112643
-1,0.709687,-0.037636,-0.876539,-0.916339,-0.642916,-0.709876,2,-0.037636
-1,0.555501,-0.139834,0.753511,0.638314,1.14832,0.643544,-2,-0.139834
1,0.563424,-0.12139,1.08844,0.719983,1.09904,0.732945,-2,0.563424
-1,0.0577945,-0.725112,1.59289,1.03143,1.16968,1.36622,2,-0.725112
-1,0.134162,-0.666968,0.723659,0.821185,-0.766521,-1.32973,2,-0.666968
1,0.942334,-0.119514,1.75874,1.61662,1.81381,1.24945,2,0.942334
1,0.781333,-0.0595826,1.51044,1.68872,1.16283,0.644595,2,0.781333
-1,0.0119639,-0.796374,-1.11004,-0.813677,-0.683258,-0.381082,-2,-0.796374
1,0.0427854,-0.728658,-1.66168,-1.74868,-1.47874,-1.49036,-2,0.0427854
-1,0.0410273,-0.895708,0.435297,1.45829,0.819146,0.579298,-2,-0.895708
1,0.0976474,-0.0711008,0.706958,1.09798,0.927178,1.50409,1,0.0976474
1,0.532153,-0.177264,-0.607315,-0.170898,-0.0908592,0.189657,2,0.532153
-1,0.0432959,-0.930686,-0.346996,-0.504521,0.0066867,-0.23578,-2,-0.930686
-1,0.0976474,-0.0711008,0.706958,1.09798,0.927178,1.50409,1,-0.0711008
1,0.725769,-0.17679,-1.02196,-0.745896,-0.257559,-0.0982661,-2,0.725769
-1,0.199955,-0.711079,1.25971,1.59842,1.69221,1.41334,2,-0.711079
1,0.0704347,-0.194106,1.2425,0.474567,1.53987,0.962898,2,0.0704347
-1,0.069074,-0.859643,-0.412721,0.0307873,0.405423,1.1136,-2,-0.859643
-1,0.0554041,-0.0864292,-1.73229,-1.8154,-1.96014,-1.8629,2,-0.0864292
-1,0.0427854,-0.728658,-1.66168,-1.74868,-1.47874,-1.49036,-2,-0.728658
1,0.757148,-0.205535,1.30307,1.32796,1.1392,1.01054,2,0.757148
-1,0.247122,-0.703733,1.00362,0.902066,0.815912,1.09313,2,-0.703733
1,0.0554041,-0.0864292,-1.73229,-1.8154,-1.96014,-1.8629,2,0.0554041
-1,0.112643,-0.749009,0.0231645,-0.387028,0.216182,0.488305,2,-0.749009
1,0.915543,-0.118327,-1.74078,-1.73686,-1.51227,-1.5155,-2,0.915543
1,0.904108,-0.117448,-0.0917942,-0.985119,-1.38287,-1.3355,-2,0.904108
-1,0.16243,-0.241538,0.533305,1.61232,1.35917,1.60116,-2,-0.241538
1,0.0208303,-0.943612,-0.66109,1.07164,-0.304635,1.24159,2,0.0208303
1,0.109421,-0.81647,-0.975176,-0.895004,-1.01437,-1.21691,2,0.109421
-1,0.0575074,-0.0167857,0.589527,0.659831,1.08873,0.693969,-2,-0.0167857
1,0.120039,-0.179506,-1.1564,-1.18212,-1.15187,-1.20663,-2,0.120039
1,0.964312,-0.0257506,1.74099,1.08561,-1.76593,-1.63031,2,0.964312
1,0.0575074,-0.0167857,0.589527,0.659831,1.08873,0.693969,-2,0.0575074
-1,0.0940381,-0.928779,1.17328,0.772249,0.496554,0.155716,-2,-0.928779
1,0.545134,-0.11707,-1.23109,-1.42158,-1.18621,-1.17185,-2,0.545134
1,0.211011,-0.0938747,1.46268,1.7424,-0.48311,-1.40845,2,0.211011
1,0.505625,-0.175553,0.931663,0.992829,0.217365,-0.568598,-2,0.505625
-1,0.109073,-0.97447,-1.13032,-1.61751,-1.63615,-1.5973,-2,-0.97447
1,0.555501,-0.139834,0.753511,0.638314,1.14832,0.643544,-2,0.555501
1,0.329074,-0.109223,-1.02648,-0.710963,-0.729096,-0.0992099,2,0.329074
-1,0.0208303,-0.943612,-0.66109,1.07164,-0.304635,1.24159,2,-0.943612
1,0.877391,-0.186788,-1.50892,-1.5439,-1.28996,-1.0678,-2,0.877391
1,0.135889,-0.154142,-0.719314,-1.69494,-0.682672,-0.527909,-2,0.135889
-1,0.166519,-0.857376,-1.32307,-1.24879,-1.20866,-1.16114,-2,-0.857376
-1,0.193965,-0.764695,-1.6572,-1.4795,-1.31897,-1.35656,-2,-0.764695
1,0.999825,-0.199916,-1.19295,-0.512765,-1.32879,0.488821,-2,0.999825
-1,0.162633,-0.628827,0.821311,0.388155,0.224141,-0.079261,-2,-0.628827
1,0.429606,-0.206853,-0.268737,-0.615391,0.0430693,-0.126295,-2,0.429606
-1,0.195202,-0.52284,1.35604,1.2603,0.492526,0.691744,-2,-0.52284
-1,0.135889,-0.154142,-0.719314,-1.69494,-0.682672,-0.527909,-2,-0.154142
1,0.243546,-0.202057,0.599433,1.74012,1.33838,1.36852,-2,0.243546
-1,0.291729,-0.519981,0.0218056,1.11716,1.01861,1.24611,-2,-0.519981
-1,0.350916,-0.6373,1.98254,1.45264,1.67328,0.878469,2,-0.6373
1,0.554025,-0.213976,0.228162,0.138648,-0.315824,-0.508849,2,0.554025
1,0.451371,-0.272177,0.777834,1.19621,1.95219,1.60249,2,0.451371
-1,0.19309,-0.893678,-1.23042,-1.50166,-1.34471,-0.824586,-2,-0.893678
-1,0.211011,-0.0938747,1.46268,1.7424,-0.48311,-1.40845,2,-0.0938747
-1,0.196554,-0.564635,-1.34404,-1.26358,-1.23929,-0.964233,2,-0.564635
-1,0.2436,-0.464413,-1.59792,-1.56442,-1.55095,-0.43636,2,-0.464413
1,0.85977,-0.110484,-1.67332,-1.66624,-1.65903,-1.64572,2,0.85977
-1,0.243546,-0.202057,0.599433,1.74012,1.33838,1.36852,-2,-0.202057
-1,0.120039,-0.179506,-1.1564,-1.18212,-1.15187,-1.20663,-2,-0.179506
1,0.0268349,-0.356685,-1.35058,-1.38587,-1.40439,-1.34845,-2,0.0268349
-1,0.639212,-0.0370808,0.987455,1.14818,1.34788,1.12684,2,-0.0370808
1,0.0957795,-0.307611,-0.622178,-0.455731,-0.181915,-0.350532,2,0.0957795
1,0.112776,-0.354817,-1.52079,-1.81116,-1.65113,-1.67544,-2,0.112776
-1,0.023386,-0.856389,1.39316,1.04908,1.30253,0.876985,-2,-0.856389
-1,0.0673959,-0.686356,1.57873,1.31429,1.38782,1.27074,-2,-0.686356
-1,0.461963,-0.0938149,-0.534847,-0.506719,-0.073862,-0.253507,2,-0.0938149
1,0.0744825,-0.542447,-0.819383,-0.0540905,-1.66353,-1.21798,-2,0.0744825
1,0.023386,-0.856389,1.39316,1.04908,1.30253,0.876985,-2,0.023386
-1,0.761315,-0.216427,-1.80036,-1.54025,-1.55228,-1.51043,-2,-0.216427
-1,0.429931,-0.0996377,1.51317,1.38075,1.41599,1.10566,2,-0.0996377
1,0.0673959,-0.686356,1.57873,1.31429,1.38782,1.27074,-2,0.0673959
1,0.120417,-0.244773,-1.23503,-0.226877,-0.554377,-0.919592,-2,0.120417
-1,0.268597,-0.0242582,-0.285459,-0.893155,-0.376873,-0.602342,-2,-0.0242582
1,0.268597,-0.0242582,-0.285459,-0.893155,-0.376873,-0.602342,-2,0.268597
1,0.822736,-0.0671906,0.990501,0.861386,0.720344,0.395003,2,0.822736
-1,0.0493285,-0.184066,-0.979822,-1.07925,-1.59579,-1.92261,2,-0.184066
-1,0.0955794,-0.742208,-1.15501,-1.07503,-0.760554,-1.42451,2,-0.742208
-1,0.31491,-0.0300193,0.434967,-0.05725,0.383682,-0.269767,2,-0.0300193
-1,0.783506,-0.0304075,-0.860735,-0.978588,-1.01325,-1.07691,-2,-0.0304075
-1,0.350882,-0.123993,-1.18024,-0.842438,-0.330445,-0.482079,2,-0.123993
1,0.0753478,-0.571115,0.501784,-0.420555,-1.04031,-1.08423,2,0.0753478
-1,0.142262,-0.0568787,0.312516,0.0789937,0.360681,0.155995,2,-0.0568787
1,0.442927,-0.0516967,0.0301985,0.159571,0.317648,0.640752,-2,0.442927
1,0.31491,-0.0300193,0.434967,-0.05725,0.383682,-0.269767,2,0.31491
1,0.142262,-0.0568787,0.312516,0.0789937,0.360681,0.155995,2,0.142262
1,0.783506,-0.0304075,-0.860735,-0.978588,-1.01325,-1.07691,-2,0.783506
-1,0.107207,-0.692299,-1.46856,-1.04816,-1.01884,-0.780677,-2,-0.692299
-1,0.146239,-0.616808,-0.910883,-1.2395,-1.52364,-1.42633,2,-0.616808
1,0.976517,-0.117645,-0.676135,-0.360583,-0.139586,-0.0228814,2,0.976517
-1,0.143449,-0.301724,1.01884,1.22842,1.11618,1.44209,2,-0.301724
1,0.639212,-0.0370808,0.987455,1.14818,1.34788,1.12684,2,0.639212
-1,0.0268349,-0.356685,-1.35058,-1.38587,-1.40439,-1.34845,-2,-0.356685
1,0.429931,-0.0996377,1.51317,1.38075,1.41599,1.10566,2,0.429931
-1,0.0744825,-0.542447,-0.819383,-0.0540905,-1.66353,-1.21798,-2,-0.542447
1,0.0493285,-0.184066,-0.979822,-1.07925,-1.59579,-1.92261,2,0.0493285
-1,0.109421,-0.81647,-0.975176,-0.895004,-1.01437,-1.21691,2,-0.81647
-1,0.0753478,-0.571115,0.501784,-0.420555,-1.04031,-1.08423,2,-0.571115
1,0.971366,-0.169956,-1.58618,-1.54998,-1.28067,-1.35403,-2,0.971366
1,0.758939,-0.276745,1.30592,1.05441,1.11214,1.13384,2,0.758939
-1,0.225572,-0.929764,-1.27387,-0.933743,-0.843403,-0.182646,-2,-0.929764
-1,0.237382,-0.396646,1.2969,0.666162,1.45607,1.1902,2,-0.396646
1,0.974046,-0.267702,0.795966,0.545634,-0.0748424,1.18661,2,0.974046
-1,0.28781,-0.817328,-0.542621,-0.563938,-1.02864,-1.17486,-2,-0.817328
-1,0.0999067,-0.799033,0.00544273,-0.466496,-1.45554,-1.86589,-2,-0.799033
1,0.13294,-0.335596,1.09192,1.05998,1.16437,1.036,-2,0.13294
1,0.560901,-0.309363,-1.72892,-1.75593,-1.52948,-1.08054,-2,0.560901
1,0.75136,-0.107265,-0.376158,-0.77813,-0.42487,-0.635788,1,0.75136
-1,0.302576,-0.710344,-0.242769,1.21521,1.0843,1.44364,-2,-0.710344
-1,0.182992,-0.981999,0.88664,1.01252,0.97675,1.20091,-2,-0.981999
1,0.945216,-0.211351,1.721,1.64604,1.74336,1.52624,2,0.945216
1,0.350882,-0.123993,-1.18024,-0.842438,-0.330445,-0.482079,2,0.350882
1,0.85757,-0.224647,1.22308,0.888371,1.1148,0.862601,1,0.85757
1,0.752184,-0.13804,-1.89659,-1.80659,-1.43106,-1.32171,-2,0.752184
1,0.461963,-0.0938149,-0.534847,-0.506719,-0.073862,-0.253507,2,0.461963
-1,0.120417,-0.244773,-1.23503,-0.226877,-0.554377,-0.919592,-2,-0.244773
-1,0.112776,-0.354817,-1.52079,-1.81116,-1.65113,-1.67544,-2,-0.354817
1,0.447406,-0.261169,-0.880793,-0.977118,-0.975695,-0.63923,-2,0.447406
-1,0.210382,-0.321907,-0.333446,0.024393,0.463015,0.272312,2,-0.321907
1,0.591384,-0.327197,-0.216553,-0.427895,-1.66471,-1.77949,2,0.591384
-1,0.0957795,-0.307611,-0.622178,-0.455731,-0.181915,-0.350532,2,-0.307611
1,0.899691,-0.292848,-0.421071,-1.08722,-1.03767,-0.814554,2,0.899691
1,0.878193,-0.299084,-0.0354657,-0.689572,-1.37292,-1.25164,2,0.878193
1,0.567201,-0.299951,1.0471,1.31566,1.04761,1.70493,1,0.567201
1,0.561564,-0.136276,-0.997168,-1.05719,-0.894773,-0.927014,1,0.561564
1,0.244006,-0.191794,0.0414184,-0.206785,0.455521,0.0231837,-2,0.244006
-1,0.16747,-0.503232,1.32353,0.861859,1.06152,0.585031,2,-0.503232
-1,0.236891,-0.299999,-1.73168,-1.75308,-1.5207,-1.51493,-2,-0.299999
1,0.338208,-0.148022,-1.50851,-1.50029,-1.42404,-1.41186,-2,0.338208
1,0.742207,-0.300121,1.50242,1.62971,1.74104,1.54547,2,0.742207
1,0.326393,-0.241712,0.38787,0.696589,0.799876,0.454503,-2,0.326393
-1,0.307441,-0.541749,0.748392,1.27601,1.32741,1.32318,2,-0.541749
1,0.856448,-0.318173,-0.00344674,0.00922945,0.374213,0.54375,-2,0.856448
-1,0.191721,-0.697314,0.869333,1.40973,0.767667,1.47388,2,-0.697314
-1,0.316668,-0.491505,1.81946,1.47146,1.8259,1.40446,2,-0.491505
1,0.456873,-0.27304,1.13735,1.10904,1.44201,1.48129,2,0.456873
-1,0.203479,-0.365332,0.846598,1.31715,0.985116,1.39758,-2,-0.365332
1,0.98544,-0.210658,-1.57917,-1.27576,-1.18613,-1.30039,-2,0.98544
-1,0.244006,-0.191794,0.0414184,-0.206785,0.455521,0.0231837,-2,-0.191794
-1,0.287279,-0.438578,1.66672,1.68536,1.82462,1.61852,2,-0.438578
-1,0.322852,-0.532707,-1.87289,-1.44049,-1.81969,-1.36411,-2,-0.532707
1,0.936823,-0.322121,-0.737501,-0.870756,-0.704179,-0.901785,2,0.936823
-1,0.345385,-0.949615,-0.498615,-0.71321,-1.23857,-0.410402,2,-0.949615
-1,0.354061,-0.460624,0.0499954,0.699598,1.28415,0.601172,2,-0.460624
-1,0.22333,-0.466534,-0.424809,-1.03903,-0.999443,-1.54919,-2,-0.466534
-1,0.26424,-0.308303,-1.38846,-1.36778,-1.19637,-1.07921,-2,-0.308303
-1,0.3499,-0.944029,-0.92622,-0.908201,-0.76461,-0.900588,2,-0.944029
1,0.780536,-0.38888,-1.66238,-1.47536,-1.17375,-0.709167,-2,0.780536
-1,0.368318,-0.361851,0.889589,1.17582,0.85157,0.459523,2,-0.361851
1,0.444713,-0.311416,0.0794373,-0.353791,-0.321343,-0.14291,2,0.444713
1,0.236891,-0.299999,-1.73168,-1.75308,-1.5207,-1.51493,-2,0.236891
1,0.368318,-0.361851,0.889589,1.17582,0.85157,0.459523,2,0.368318
-1,0.334316,-0.992418,0.137878,0.683377,0.35714,0.72314,2,-0.992418
-1,0.374336,-0.598851,0.538696,0.847606,1.0062,1.02349,-2,-0.598851
-1,0.322458,-0.422742,-1.33435,-0.343632,-1.08967,0.384616,-2,-0.422742
1,0.40969,-0.324779,-0.462394,-0.78986,-0.745805,-1.17642,-2,0.40969
1,0.817973,-0.326647,1.5809,1.71537,1.65795,1.52743,2,0.817973
1,0.26424,-0.308303,-1.38846,-1.36778,-1.19637,-1.07921,-2,0.26424
1,0.693458,-0.238296,-1.67932,-1.94076,-2.00403,-1.94885,-2,0.693458
1,0.69903,-0.271897,-0.635922,-0.862845,-0.402843,-0.717639,-2,0.69903
-1,0.216584,-0.340839,-0.57633,0.521171,0.128081,0.642793,2,-0.340839
1,0.143449,-0.301724,1.01884,1.22842,1.11618,1.44209,2,0.143449
1,0.761315,-0.216427,-1.80036,-1.54025,-1.55228,-1.51043,-2,0.761315
1,0.94376,-0.289412,0.642833,1.25387,0.342195,-0.0397101,2,0.94376
1,0.504201,-0.317354,0.844472,0.528032,0.231932,-0.324843,2,0.504201
1,0.790762,-0.23213,-0.521427,-0.775615,-0.47504,-0.404459,-2,0.790762
1,0.210382,-0.321907,-0.333446,0.024393,0.463015,0.272312,2,0.210382
1,0.690395,-0.394161,-0.43511,-0.833148,-0.792336,-0.762258,2,0.690395
-1,0.303757,-0.909279,-1.22079,-1.33032,-1.23095,-1.1835,-2,-0.909279
-1,0.429606,-0.206853,-0.268737,-0.615391,0.0430693,-0.126295,-2,-0.206853
-1,0.299835,-0.504365,1.38396,1.85233,1.84721,1.76798,-2,-0.504365
-1,0.176262,-0.328726,-1.56191,-1.534,-1.32289,-1.32437,-2,-0.328726
-1,0.34894,-0.427122,-0.472245,-0.734807,-1.16639,-1.59772,2,-0.427122
-1,0.286075,-0.933749,-1.19615,-1.2947,-1.74251,-1.54723,-2,-0.933749
1,0.646294,-0.421733,-0.339065,0.40802,0.625774,-0.141272,2,0.646294
1,0.689637,-0.407856,-0.589576,-0.696954,-0.172929,-0.377521,-2,0.689637
-1,0.451371,-0.272177,0.777834,1.19621,1.95219,1.60249,2,-0.272177
1,0.397677,-0.367994,-0.235121,-0.435412,-1.21123,-1.69415,2,0.397677
-1,0.408406,-0.760553,1.80876,1.20333,1.75493,1.07474,2,-0.760553
1,0.723864,-0.479351,1.53599,1.39689,1.46144,1.41492,-2,0.723864
1,0.237382,-0.396646,1.2969,0.666162,1.45607,1.1902,2,0.237382
1,0.404245,-0.337317,-1.17979,-1.01723,-1.0817,-1.17345,2,0.404245
1,0.779147,-0.401155,-1.59901,-1.62973,-1.41078,-1.30039,-2,0.779147
1,0.528657,-0.293781,1.29048,1.4353,1.27276,1.22646,2,0.528657
-1,0.344481,-0.449887,0.814494,0.982677,1.13526,0.676745,-2,-0.449887
-1,0.300519,-0.551558,1.17235,1.02312,1.0489,1.24506,2,-0.551558
-1,0.397677,-0.367994,-0.235121,-0.435412,-1.21123,-1.69415,2,-0.367994
1,0.958984,-0.472353,0.937819,0.587063,0.659578,0.475866,-2,0.958984
-1,0.338208,-0.148022,-1.50851,-1.50029,-1.42404,-1.41186,-2,-0.148022
-1,0.332467,-0.875774,0.888497,0.688681,0.876013,1.06053,-2,-0.875774
1,0.203479,-0.365332,0.846598,1.31715,0.985116,1.39758,-2,0.203479
1,0.291729,-0.519981,0.0218056,1.11716,1.01861,1.24611,-2,0.291729
-1,0.403635,-0.666461,1.44391,1.16804,1.40297,1.13292,2,-0.666461
1,0.869873,-0.414941,-1.20069,0.807009,-0.175043,0.617807,-2,0.869873
1,0.2436,-0.464413,-1.59792,-1.56442,-1.55095,-0.43636,2,0.2436
-1,0.437417,-0.60976,-0.799421,-0.453462,-0.399446,-0.553624,2,-0.60976
-1,0.444713,-0.311416,0.0794373,-0.353791,-0.321343,-0.14291,2,-0.311416
1,0.34894,-0.427122,-0.472245,-0.734807,-1.16639,-1.59772,2,0.34894
1,0.322458,-0.422742,-1.33435,-0.343632,-1.08967,0.384616,-2,0.322458
1,0.632651,-0.444062,0.542548,1.65533,0.431061,1.0497,2,0.632651
1,0.493245,-0.0882898,-1.30853,-1.44385,-1.22842,-1.25423,-2,0.493245
1,0.692043,-0.505847,-0.0961409,-0.420033,-1.63786,-1.64782,-2,0.692043
-1,0.326393,-0.241712,0.38787,0.696589,0.799876,0.454503,-2,-0.241712
-1,0.469782,-0.785438,0.116393,0.096736,0.748598,0.743202,-2,-0.785438
-1,0.447406,-0.261169,-0.880793,-0.977118,-0.975695,-0.63923,-2,-0.261169
-1,0.3203,-0.493398,0.548323,0.069121,-1.06848,-1.42204,2,-0.493398
-1,0.40969,-0.324779,-0.462394,-0.78986,-0.745805,-1.17642,-2,-0.324779
1,0.391587,-0.433259,1.62954,0.874769,-0.275219,-0.454746,2,0.391587
-1,0.380765,-0.985993,0.544535,0.0896971,-0.00661711,-0.751136,2,-0.985993
-1,0.391587,-0.433259,1.62954,0.874769,-0.275219,-0.454746,2,-0.433259
1,0.216584,-0.340839,-0.57633,0.521171,0.128081,0.642793,2,0.216584
1,0.344481,-0.449887,0.814494,0.982677,1.13526,0.676745,-2,0.344481
-1,0.412564,-0.919415,-0.0576494,0.075487,0.0920626,0.38173,2,-0.919415
-1,0.379986,-0.679585,-1.50816,-1.76122,-1.50156,-1.54139,-2,-0.679585
-1,0.404245,-0.337317,-1.17979,-1.01723,-1.0817,-1.17345,2,-0.337317
1,0.419778,-0.408454,1.2834,1.51426,1.36128,1.47759,2,0.419778
-1,0.463469,-0.85419,-0.779472,-0.891917,-1.03778,-1.17732,2,-0.85419
