direction,take_profit,stop_loss,open,high,low,close,weight,result
1,0.660338,-0.0401862,-0.886646,-0.606302,-0.477801,-0.573343,2,0.660338
1,0.823229,-0.0378111,-1.47589,-1.7829,-1.74627,-1.68702,-2,0.823229
-1,0.0440768,-0.841097,1.64229,1.99013,1.793,1.92209,2,-0.841097
1,0.0263965,-0.201939,1.1622,0.993019,0.955865,0.781742,2,0.0263965
-1,0.823229,-0.0378111,-1.47589,-1.7829,-1.74627,-1.68702,-2,-0.0378111
1,0.0769012,-0.0891831,-1.04141,-1.06479,-1.2944,-1.31132,-2,0.0769012
-1,0.0769012,-0.0891831,-1.04141,-1.06479,-1.2944,-1.31132,-2,-0.0891831
1,0.0440768,-0.841097,1.64229,1.99013,1.793,1.92209,2,0.0440768
-1,0.751462,-0.0175052,0.386748,0.284906,-0.195007,-0.151128,-2,-0.0175052
-1,0.398953,-0.0710439,0.0851256,-0.119292,-0.150025,-0.76257,-2,-0.0710439
-1,0.660338,-0.0401862,-0.886646,-0.606302,-0.477801,-0.573343,2,-0.0401862
-1,0.225441,-0.126488,-1.15575,-1.01313,-1.68689,-0.936163,2,-0.126488
-1,0.964029,-0.0886729,0.470001,0.150627,-0.719534,-1.14893,2,-0.0886729
1,0.178727,-0.56004,-1.96501,-1.92346,-1.61792,-1.53773,-2,0.178727
-1,0.488633,-0.134132,1.31421,0.976305,1.28312,0.519405,2,-0.134132
-1,0.494534,-0.0918542,-0.946383,-1.29662,0.754843,0.0732458,-1,-0.0918542
1,0.165602,-0.702829,-1.39791,-1.29654,-1.24632,-0.733931,-2,0.165602
-1,0.778743,-0.219167,-0.639121,0.951051,0.198267,1.47651,-2,-0.219167
1,0.20189,-0.701711,-1.02731,-1.17558,-0.912066,-0.900775,1,0.20189
1,0.182851,-0.586701,-0.328732,-0.707451,-0.991988,-0.797351,2,0.182851
-1,0.811728,-0.126439,-0.0266949,-0.99845,-0.953804,-1.25754,2,-0.126439
-1,0.0161376,-0.03802,-0.678198,-1.26409,-1.36197,0.145049,-2,-0.03802
1,0.0161376,-0.03802,-0.678198,-1.26409,-1.36197,0.145049,-2,0.0161376
-1,0.0263965,-0.201939,1.1622,0.993019,0.955865,0.781742,2,-0.201939
1,0.225441,-0.126488,-1.15575,-1.01313,-1.68689,-0.936163,2,0.225441
-1,0.255592,-0.226467,0.681034,0.720193,0.801431,0.937503,2,-0.226467
